연도,월, 총인구수(명) ,세대수(개),세대당 인구(명),남자 인구수(명),여자 인구수(명),남여 비율(남/여),"65세 이상
고령화비율(%)",전력사용량(kWh),산업체 수(개),"산업체 규모(개)
100인 이상 사업장",산업단지면적(㎡),"가계소득
연간 주민1인당 자체수입액(천원)","학력수준
연간 고등학교 졸업(명)",연간 인건비(천원),연간 평균 수입대비 인건비(%),"취업률(명)
고용보험자수","취약계층(개)
장애인포함가구", 평균 기온(°C) ,월합강수량(mm),"습도
평균상대습도(%)","일조량
합계 일조시간(hr)","지중온도
평균지면온도(°C)","풍량
평균풍속(m/s)","기압
평균현지기압(hPa)"
2001,1,,,,,,,,,,,,523,,"142,037,982",51.88,,,-2.2,61.2,68,145.3,-1.4,1.9,"1,015.00"
2001,2,,,,,,,,,,,,523,,"142,037,982",51.88,,,0.9,70,64,157.3,1.3,1.7,"1,015.60"
2001,3,,,,,,,,,,,,523,,"142,037,982",51.88,,,5.9,16,54,209.7,6.5,2.5,"1,007.40"
2001,4,,,,,,,,,,,,523,,"142,037,982",51.88,,,13.7,20.4,51,250.4,16.1,2.7,"1,007.60"
2001,5,,,,,,,,,,,,523,,"142,037,982",51.88,,,19.5,30.2,60,228.5,23.5,2.6,"1,002.60"
2001,6,,,,,,,,,,,,523,,"142,037,982",51.88,,,23,234.2,70,139.4,25.8,2.2,999.5
2001,7,,,,,,,,,,,,523,,"142,037,982",51.88,,,26.1,171,77,167,28.4,2,999.6
2001,8,,,,,,,,,,,,523,,"142,037,982",51.88,,,25.8,78.1,71,210,28.9,2.1,"1,001.70"
2001,9,,,,,,,,,,,,523,,"142,037,982",51.88,,,21.8,25.2,64,214.2,25.9,2.4,"1,006.20"
2001,10,,,,,,,,,,,,523,,"142,037,982",51.88,,,15.7,91.2,73,159.4,16.7,1.7,"1,010.50"
2001,11,,,,,,,,,,,,523,,"142,037,982",51.88,,,6.4,10.8,67,175,6.8,1.6,"1,013.90"
2001,12,,,,,,,,,,,"36,416,273",523,,"142,037,982",51.88,,,0,20.4,65,177.4,0.4,1.7,"1,019.10"
2002,1,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,1.7,92.1,68,142.6,3,2.4,"1,012.70"
2002,2,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,2.4,12,59,172.7,4.1,1.8,"1,015.70"
2002,3,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,8.6,33.5,55,214.3,11.3,2.5,"1,009.20"
2002,4,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,14.8,155.5,54,214.5,18.9,2.8,"1,006.90"
2002,5,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,18.1,130.5,65,198.2,22.9,2.4,"1,004.00"
2002,6,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,22.6,55.4,63,208.2,28.6,2.1,"1,000.00"
2002,7,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,25.8,149.1,75,156.5,29.6,2.3,997.1
2002,8,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,24.6,538.8,82,70.9,27.3,2.1,"1,000.30"
2002,9,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,21,77,75,174.6,24.6,1.8,"1,006.60"
2002,10,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,12.9,67.8,71,182.6,14.4,1.8,"1,010.10"
2002,11,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,4.9,24,64,166.2,5.5,1.9,"1,013.80"
2002,12,,,,,,,,,,,"36,416,273",558,,"158,630,983",64.72,,,2.4,43,69,156.7,3.2,2,"1,017.10"
2003,1,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,-1.7,11.2,66,155.7,0,2.6,"1,015.40"
2003,2,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,2.9,59.2,65,141.4,4.1,2,"1,014.00"
2003,3,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,6.9,44.2,62,172.9,9.2,2.2,"1,012.70"
2003,4,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,13.6,217.5,62,175.7,16.3,2.6,"1,006.90"
2003,5,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,19.4,119.5,64,226.2,23.5,2.7,"1,004.50"
2003,6,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,22,186.4,70,150.3,25.7,2.2,998.6
2003,7,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,23.4,576.3,80,102.7,25.5,2.5,999.3
2003,8,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,24.4,254.9,80,98.5,26.3,2.2,"1,001.20"
2003,9,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,21.6,208.5,78,121.8,23.7,1.8,"1,005.80"
2003,10,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,14,21.5,66,213.8,15.2,1.7,"1,010.50"
2003,11,,,,,,,,,,,"36,416,273",622,,"178,176,194",55.77,,,10,32.6,71,123.3,9.4,1.6,"1,014.40"
2003,12,,,,,,,,,,,"36,448,024",622,,"178,176,194",55.77,,,2.3,17.1,64,156.6,1.1,1.3,"1,016.20"
2004,1,,,,,,,,"604,495,000",,,"36,448,024",686,,"197,777,185",54.35,,,-0.5,10.9,63,178.5,-1.2,1.1,"1,015.70"
2004,2,,,,,,,,"613,531,000",,,"36,448,024",686,,"197,777,185",54.35,,,3.6,30.6,56,192.6,2.7,1.6,"1,011.80"
2004,3,,,,,,,,"578,599,000",,,"36,448,024",686,,"197,777,185",54.35,,,7,83.2,50,221.7,7,1.4,"1,011.80"
2004,4,,,,,,,,"561,901,000",,,"36,448,024",686,,"197,777,185",54.35,,,13.9,73.1,49,236.2,16,2.2,"1,005.70"
2004,5,,,,,,,,"529,982,000",,,"36,448,024",686,,"197,777,185",54.35,,,18.6,109,65,188.8,21.3,1.9,"1,001.80"
2004,6,,,,,,,,"550,925,000",,,"36,448,024",686,,"197,777,185",54.35,,,23.5,383.5,63,189.8,27.5,1.9,"1,001.80"
2004,7,,,,,,,,"579,268,000",,,"36,448,024",686,,"197,777,185",54.35,,,26.1,391,77,134.2,28.6,1.9,999.4
2004,8,,,,,,,,"634,908,000",,,"36,448,024",686,,"197,777,185",54.35,,,25.9,198.3,73,158.4,28.6,1.8,"1,000.10"
2004,9,,,,,,,,"565,332,000",,,"36,442,193",686,,"197,777,185",54.35,,,21.4,133.7,73,151.4,22.6,2.2,"1,006.80"
2004,10,,,,,,,,"529,266,000",,,"36,442,193",686,,"197,777,185",54.35,,,14.7,5,63,216.2,16,1.7,"1,012.60"
2004,11,,,,,,,,"556,914,000",,,"36,442,193",686,,"197,777,185",54.35,,,9.1,37.1,69,144.8,7.5,1.5,"1,014.80"
2004,12,,,,,,,,"591,152,000",,,"36,442,193",686,,"197,777,185",54.35,,,3.1,41.1,61,185.7,1.6,1.6,"1,016.50"
2005,1,,,,,,,,"647,010,000",,,"36,442,193",754,,"216,285,776",58,,,-1.4,6,57,190.8,-1.1,2.1,"1,014.50"
2005,2,,,,,,,,"614,756,000",,,"36,442,193",754,,"216,285,776",58,,,-0.9,37.5,53,155.8,0.4,2.6,"1,015.60"
2005,3,,,,,,,,"607,003,000",,,"36,442,193",754,,"216,285,776",58,,,4.7,38.8,53,236.6,6.3,2.6,"1,011.40"
2005,4,,,,,,,,"592,498,000",,,"36,442,193",754,,"216,285,776",58,,,13.6,48.5,50,225.4,16.5,2.6,"1,006.20"
2005,5,,,,,,,,"550,422,000",,,"36,442,193",754,,"216,285,776",58,,,17.3,60.5,57,232.7,22.2,2.1,"1,002.60"
2005,6,,,,,,,,"585,869,000",,,"36,442,193",754,,"216,285,776",58,,,22.7,209.6,68,171.9,26.4,1.9,998
2005,7,,,,,,,,"608,479,000",,,"36,442,193",754,,"216,285,776",58,,,25.4,463.3,76,123.4,28.7,1.8,998.6
2005,8,,,,,,,,"648,531,000",,,"36,442,193",754,,"216,285,776",58,,,25.1,499.5,78,136,27.5,1.5,"1,000.90"
2005,9,,,,,,,,"597,868,000",,,"71,670,181",754,,"216,285,776",58,,,22.1,226.4,74,131.9,24.4,2,"1,007.00"
2005,10,,,,,,,,"560,922,000",,,"71,670,181",754,,"216,285,776",58,,,14.2,30.5,72,182.3,15.4,1.4,"1,011.90"
2005,11,,,,,,,,"584,199,000",,,"71,670,181",754,,"216,285,776",58,,,8.3,20.3,60,192.3,7.2,1.5,"1,012.50"
2005,12,,,,,,,,"655,373,000",,,"71,670,181",754,,"216,285,776",58,,,-2.9,15.2,64,165.3,-2,1.5,"1,016.40"
2006,1,,,,,,,,"692,742,000",,,"71,670,181",773,,"232,053,000",65.53,,,0.3,31.2,65,149.4,-0.2,1.4,"1,016.50"
2006,2,,,,,,,,"659,312,000",,,"71,670,181",773,,"232,053,000",65.53,,,0.9,33.1,60,157.7,1.7,1.8,"1,017.30"
2006,3,,,,,,,,"623,373,000",,,"71,670,181",773,,"232,053,000",65.53,,,6.1,8.1,52,216.4,7.7,2.2,"1,008.70"
2006,4,,,,,,,,"616,093,000",,,"71,670,181",773,,"232,053,000",65.53,,,11.7,94.2,60,155.7,12.9,2.3,"1,003.30"
2006,5,,,,,,,,"578,261,000",,,"71,670,181",773,,"232,053,000",65.53,,,18.5,119.7,64,201.7,21.4,2.2,"1,004.20"
2006,6,,,,,,,,"593,971,000",,,"71,670,181",773,,"232,053,000",65.53,,,22.3,131,69,179.7,25.9,1.8,999.4
2006,7,,,,,,,,"620,063,000",,,"71,670,181",773,,"232,053,000",65.53,,,23.1,531,85,55.9,24.7,1.9,998.4
2006,8,,,,,,,,"667,860,000",,,"71,670,181",773,,"232,053,000",65.53,,,26.7,113.6,75,193.8,30.5,1.5,"1,000.50"
2006,9,,,,,,,,"641,139,000",,,"71,670,181",773,,"232,053,000",65.53,,,20,24.1,70,181.4,22.8,1.8,"1,006.70"
2006,10,,,,,,,,"549,360,000",,,"71,670,181",773,,"232,053,000",65.53,,,17.1,19.3,69,211,18.9,1.3,"1,010.70"
2006,11,,,,,,,,"603,073,000",,,"71,670,181",773,,"232,053,000",65.53,,,8.8,60,65,135.2,8.4,1.9,"1,011.80"
2006,12,,,,,,,,"660,414,000",,,"71,670,181",773,,"232,053,000",65.53,,,1.5,29.9,70,152.6,1.7,1.4,"1,018.10"
2007,1,,,,,,,,"704,127,000","26,339",367,"71,670,181",841,,"251,233,882",64.92,"201,037",,0.4,14,65,159.6,0.3,1.4,"1,017.90"
2007,2,,,,,,,,"670,869,000","26,387",359,"71,670,181",841,,"251,233,882",64.92,"202,266",,4.2,45,59,183.3,3.9,1.8,"1,012.80"
2007,3,,,,,,,,"633,532,000","27,022",368,"71,670,181",841,,"251,233,882",64.92,"203,920",,6.9,117.5,62,149.9,8.1,2.1,"1,010.00"
2007,4,,,,,,,,"639,481,000","27,427",375,"71,670,181",841,,"251,233,882",64.92,"206,456",,12,28.6,52,216.9,14.7,2.1,"1,008.00"
2007,5,,,,,,,,"599,408,000","27,286",369,"71,670,181",841,,"251,233,882",64.92,"207,097",,18.3,130.1,61,239.9,21.3,2.2,"1,000.40"
2007,6,,,,,,,,"618,267,000","27,399",367,"71,670,181",841,,"251,233,882",64.92,"209,547",,22.5,133,66,164,26.3,1.8,"1,000.60"
2007,7,,,,,,,,"646,779,000","27,990",368,"71,670,181",841,,"251,233,882",64.92,"210,909",,24.2,275.7,77,102.9,26.2,1.9,996.8
2007,8,,,,,,,,"700,043,000","28,600",369,"71,670,181",841,,"251,233,882",64.92,"211,240",,26.1,373,79,122.4,27.9,1.8,"1,001.00"
2007,9,,,,,,,,"660,212,000","27,719",362,"71,670,181",841,,"251,233,882",64.92,"212,908",,21.2,549.9,80,95.1,22.7,1.9,"1,004.40"
2007,10,,,,,,,,"609,188,000","28,611",368,"71,670,181",841,,"251,233,882",64.92,"214,231",,14.8,47.4,72,181,16.5,1.4,"1,011.50"
2007,11,,,,,,,,"642,187,000","29,515",377,"71,670,181",841,,"251,233,882",64.92,"216,185",,6.6,9.8,65,192.2,6.6,1.4,"1,015.50"
2007,12,,,,,,,,"699,055,000","29,561",381,"71,670,181",841,,"251,233,882",64.92,"215,948",,2,26.9,73,107.6,1.4,1.4,"1,014.10"
2008,1,"1,476,476","526,393",2.8,"739,943","736,533",1.0046,7.8,"749,160,000","29,795",375,"71,670,181",844,,"255,349,012",60,"213,727",,-0.9,45.3,61,145.9,-0.8,1.5,"1,017.50"
2008,2,"1,477,556","527,121",2.8,"740,471","737,085",1.0046,7.8,"731,028,000","30,218",379,"71,670,181",844,,"255,349,012",60,"216,536",,-0.8,9.1,49,211.7,-0.6,1.9,"1,016.70"
