지자체명,합계,가평군,강릉시,강진군,거제시,거창군,경산시,경주시,고령군,고성군,고양시,고창군,고흥군,곡성군,공주시,과천시,광명시,광양시,광주시,광주광역시,괴산군,구리시,구미시,군산시,군위군,군포시,금산군,김제시,김천시,김포시,김해시,나주시,남양주시,남원시,남해군,논산시,단양군,담양군,당진시,대구광역시,대전광역시,동두천시,동해시,목포시,무안군,밀양시,보령시,보성군,부산광역시,부안군,부여군,부천시,사천시,삼척시,상주시,서산시,서울특별시,서천군,성남시,성주군,세종자치시,수원시,순창군,순천시,시흥시,신안군,아산시,안동시,안산시,안성시,안양시,양산시,양주시,양평군,여수시,여주시,영광군,영암군,영월군,영천시,예산군,예천군,오산시,옥천군,완도군,완주군,용인시,울산광역시,원주시,음성군,의령군,의성군,의왕시,의정부시,이천시,익산시,인천광역시,임실군,장성군,장수군,장흥군,전주시,정선군,정읍시,제천시,증평군,진도군,진안군,진주시,진천군,창녕군,창원시,천안시,청도군,청송군,청양군,청주시,춘천시,충주시,칠곡군,태백시,태안군,통영시,파주시,평택시,포천시,포항시,하남시,하동군,함안군,함평군,합천군,해남군,홍성군,홍천군,화성시,화순군,횡성군
공급량,"174,574,525,627","110,513,423","7,393","12,121,095","730,782,212","153,292","725,227,279","272,529,923","56,669,511","162,403,860","2,697,910,993","199,594,216","99,273,748","31,903,065","351,888,940","253,617,782","1,091,328,584","2,700,725,269","1,079,083,377","4,594,344,823","50,521,053","520,977,841","4,806,428,608","2,430,681,711","32,143,704","776,337,246","60,761,316","219,023,403","186,388,911","457,095,640","1,147,305,711","205,457,725","1,042,767,603","56,006,077","57,128,669","322,191,305","38,580,896","33,510,400","955,899,796","8,321,839,624","4,551,714,892","97,514,318","134,811,643","900,510,646","117,513,844","82,652,990","213,055,363","25,593,138","12,657,436,646","234,725,781","1,669,064,059","1,614,967,989","391,123,095","45,265,969","100,919,773","826,959,072","26,155,911,110","122,009,468","3,546,456,922","39,766,553","450,446,006","3,721,126,421","6,377,772","491,474,426","970,146,335","20,740,009","1,774,299,172","24,419,677","4,562,770,330","384,734,681","2,513,476,554","800,311,499","462,671,324","29,529,801","9,245,802,498","174,643,792","40,150,200","274,787,019","3,981,735","300,170,872","33,723,548","28,848,491","528,471,825","4,466,455","24,417,866","132,276,598","2,065,540,292","15,537,564,917","817,768,392","294,880,475","10,098,209","322,068","256,442,022","1,146,724,003","458,423,499","511,315,487","12,149,134,791","18,989,715","50,064,345","41,058,467","47,344,140","2,070,255,554","115,986,183","328,851,040","1,796,512","92,574,607","40,304,863","8,225,724","473,768,703","176,211,644","142,348,474","1,848,105,365","1,813,686,820","78,416,487","67,783,183","16,663,945","2,957,019,355","87,631,404","473,922,151","329,573,663","240,368,731","266,488,290","580,798,038","1,107,700,459","1,476,518,640","261,930,282","3,000,637,694","472,793,522","44,662,981","2,437,701,532","9,043,350","53,220,266","43,235,177","166,435,142","11,656,518","2,235,813,416","133,658,011","79,702,878"
1991-01,"269,270,087",0,0,0,"752,169",0,0,"1,200","22,430","118,569","785,460",0,0,0,0,"502,694",0,"3,961,619",0,0,0,"688,038","3,312,683","2,589,787",0,"552,176",0,0,"257,500",0,"63,150",0,"983,052",0,0,"550,133",0,0,0,"26,300,028","155,145",0,"763,792",0,0,0,0,0,"37,757,242",0,"6,764,963","1,531,832","306,691","227,789",0,0,"81,060,537",0,"5,272,578",0,"551,213","6,162,446",0,0,"94,120",0,"352,886",0,"6,543,628",0,"5,664,454",0,0,"18,724","6,275,485",0,0,0,"35,073",0,0,0,"185,985","96,521",0,0,"913,676","13,054,382",0,0,0,0,"254,340","1,616,710",0,"411,015","29,418,570",0,0,0,0,"2,160,606","275,101",0,0,0,0,0,0,0,0,"4,600,283","1,189,984",0,0,0,"734,027",0,"1,564,129","172,317","937,111",0,"1,080,537",0,"512,598",0,"8,475,391","568,783",0,0,0,0,0,0,0,"68,735",0,0
1991-02,"443,838,486",0,0,0,"670,850",0,0,"1,462","23,430","134,968","678,180",0,0,0,0,"452,026",0,"3,595,344",0,0,0,"597,233","2,858,341","2,072,274",0,"470,007",0,0,"198,840",0,"57,038",0,"890,092",0,0,"529,557",0,0,0,"21,383,029","115,452",0,"469,562",0,0,0,0,0,"34,866,160",0,"5,938,839","1,383,590","291,952","210,484",0,0,"69,783,046",0,"4,371,593",0,"503,895","5,482,199",0,0,"56,570",0,"317,035",0,"6,730,840",0,"5,150,725",0,0,"16,912","5,726,005",0,0,0,"27,831",0,0,0,"167,999","128,092",0,0,"823,748","218,350,190",0,0,0,0,"225,794","1,453,560",0,"323,418","26,648,420",0,0,0,0,"2,032,267","280,738",0,0,0,0,0,0,0,0,"3,947,022","1,127,817",0,0,0,"588,693",0,"1,279,164","163,159","902,544",0,"996,399",0,"447,780",0,"7,311,030","528,069",0,0,0,0,0,0,0,"57,222",0,0
1991-03,"257,497,782",0,0,0,"783,766","5,808",0,"1,569","17,700","154,918","752,470",0,0,0,0,"511,520",0,"4,069,179",0,0,0,"669,729","3,320,057","2,377,901",0,"511,816",0,0,"284,808",0,"63,150",0,"958,940",0,0,"586,959",0,0,0,"21,749,105","81,113",0,"559,506",0,0,0,0,0,"36,913,445",0,"6,466,744","1,482,193","313,426","244,861",0,0,"76,338,510",0,"4,973,135",0,"584,119","6,007,514",0,0,"56,570",0,"354,711",0,"6,646,987",0,"5,607,821",0,0,"18,724","6,198,532",0,0,0,"31,338",0,0,0,"185,860","110,176",0,0,"871,990","13,549,813",0,0,0,0,"229,703","1,665,930",0,"386,878","28,197,330",0,0,0,0,"2,133,812","297,624",0,0,0,0,0,0,0,0,"4,356,055","1,252,950",0,0,0,"1,280,019",0,"1,649,958","201,971","996,410",0,"1,137,187",0,"539,488",0,"8,106,818","589,210",0,0,0,0,0,0,0,"59,956",0,0
1991-04,"260,073,617",0,0,0,"773,985","2,274",0,"2,174","21,500","159,361","719,810",0,0,0,0,"541,983",0,"4,034,778",0,0,0,"673,370","3,405,957","2,408,903",0,"476,206",0,0,"307,220",0,"61,112",0,"922,307",0,0,"533,471",0,0,0,"24,158,871","121,198",0,"469,190",0,0,0,0,0,"37,547,343",0,"6,581,274","1,476,904","292,556","242,730",0,0,"77,152,820",0,"4,775,720",0,"772,991","6,139,211",0,0,"42,779",0,"344,028",0,"6,702,171",0,"5,690,987",0,0,"18,120","5,866,585",0,0,0,"33,514",0,0,0,"179,932","179,126",0,0,"850,267","13,201,308",0,0,0,0,"204,298","1,642,860",0,"549,487","27,937,460",0,0,0,0,"2,064,099","272,394",0,0,0,0,0,0,0,0,"4,337,073","1,216,932",0,0,0,"1,228,353",0,"1,214,140","190,015","921,379",0,"1,079,637",0,"584,673",0,"8,088,428","595,416",0,0,0,0,0,0,0,"62,937",0,0
1991-05,"265,698,921",0,0,0,"814,124","1,293",0,"3,115","16,500","168,327","874,170",0,0,0,0,"554,934",0,"4,218,599",0,0,0,"820,017","3,504,395","2,485,453",0,"496,520",0,0,"342,900",0,"52,548",0,"997,682",0,0,"535,025",0,0,0,"23,215,459","177,419",0,"322,604",0,0,0,0,0,"37,181,638",0,"7,149,368","1,470,476","325,492","269,864",0,0,"76,516,522",0,"5,234,266",0,"718,105","6,597,090",0,0,"110,280",0,"366,008",0,"8,109,097",0,"5,952,892",0,0,"18,724","6,067,806",0,0,0,"44,102",0,0,0,"183,990","158,809",0,0,"915,353","14,140,782",0,0,0,0,"159,009","1,683,840",0,"762,653","29,388,450",0,0,0,0,"2,380,704","308,827",0,0,0,0,0,0,0,0,"4,385,513","1,356,410",0,0,0,"1,344,854",0,"1,018,893","183,640","905,696",0,"1,049,106",0,"787,705",0,"8,138,580","638,386",0,0,0,0,0,0,0,"74,907",0,0
1991-06,"261,857,464",0,0,0,"781,593","2,552",0,"2,173","17,000","174,809","814,640",0,0,0,0,"565,708",0,"4,444,362",0,0,0,"671,951","3,618,396","2,951,350",0,"465,828",0,0,"250,570",0,"56,900",0,"999,428",0,0,"518,415",0,0,0,"24,323,819","162,940",0,"369,980",0,0,0,0,0,"36,612,876",0,"7,278,877","1,467,591","297,748","258,701",0,0,"74,622,005",0,"5,304,644",0,"527,753","6,498,187",0,0,"104,620",0,"399,233",0,"5,858,219",0,"6,004,039",0,0,"18,120","5,932,743",0,0,0,"42,770",0,0,0,"175,406","149,370",0,0,"906,343","14,377,537",0,0,0,0,"177,033","1,731,650",0,"739,063","29,378,152",0,0,0,0,"2,185,687","216,991",0,0,0,0,0,0,0,0,"4,304,525","1,325,764",0,0,0,"1,287,515",0,"1,102,103","186,872","882,141",0,"1,070,268",0,"745,298",0,"7,776,337","640,240",0,0,0,0,0,0,0,"78,629",0,0
1991-07,"281,403,970",0,0,0,"813,683","2,700",0,"3,425","24,080","206,140","928,980",0,0,0,0,"592,770",0,"4,820,194",0,0,0,"649,733","3,764,999","3,074,875",0,"498,103",0,0,"333,820",0,"47,000",0,"1,171,317",0,0,"533,470",0,0,0,"25,465,629","170,645",0,"363,808",0,0,0,0,0,"38,622,599",0,"7,616,115","1,504,165","376,511","275,944",0,0,"82,436,760",0,"5,709,483",0,"483,462","6,004,315",0,0,"109,850",0,"425,962",0,"7,237,149",0,"6,663,773",0,0,"20,348","6,576,220",0,0,0,"47,141",0,0,0,"195,076","162,435",0,0,"1,006,109","14,879,550",0,0,0,0,"188,660","1,781,750",0,"770,200","31,460,720",0,0,0,0,"2,277,704","276,688",0,0,0,0,0,0,0,0,"4,536,782","1,277,985",0,0,0,"1,578,713",0,"1,107,285","240,043","867,212",0,"1,197,332",0,"863,379",0,"8,434,224","643,130",0,0,0,0,0,0,0,"83,825",0,0
1991-08,"273,526,703",0,0,0,"821,186","2,770",0,"1,924","20,640","208,682","896,970",0,0,0,0,"587,469",0,"4,834,665",0,0,0,"650,981","3,803,636","3,091,848",0,"464,991",0,0,"300,740",0,"58,400",0,"1,114,375",0,0,"555,500",0,0,0,"23,394,111","182,319",0,"421,426",0,0,0,0,0,"36,549,294",0,"7,680,500","1,546,968","361,458","311,190",0,0,"80,983,924",0,"5,861,246",0,"465,598","6,006,385",0,0,"118,950",0,"419,245",0,"5,884,035",0,"6,488,990",0,0,"20,867","6,546,892",0,0,0,"55,430",0,0,0,"188,126","178,678",0,0,"1,075,429","14,219,706",0,0,0,0,"190,329","1,748,050",0,"762,724","31,332,020",0,0,0,0,"2,261,222","253,442",0,0,0,0,0,0,0,0,"4,575,959","1,303,668",0,0,0,"1,570,391",0,"806,873","238,717","820,896",0,"1,205,741",0,"969,594",0,"8,410,283","614,028",0,0,0,0,0,0,0,"87,222",0,0
1991-09,"225,081,108",0,0,0,"790,540","3,020",0,"2,066","22,780","203,299","836,280",0,0,0,0,"570,450",0,"4,700,302",0,0,0,"644,546","3,507,376","2,858,640",0,"449,219",0,0,"287,160",0,"56,700",0,"1,094,684",0,0,"543,160",0,0,0,"24,243,918","188,819",0,"407,831",0,0,0,0,0,"36,530,346",0,"7,195,146","1,463,426","285,158","269,931",0,0,"34,902,980",0,"5,536,723",0,"404,043","6,299,401",0,"900,000","97,371",0,"427,394",0,"6,477,182",0,"6,172,440",0,0,"24,585","6,496,835",0,0,0,"38,754",0,0,0,"299,950","177,122",0,0,"1,030,518","14,446,153",0,0,0,0,"174,397","1,678,930",0,"730,579","29,790,530",0,0,0,0,"2,083,162","283,995",0,0,0,0,0,0,0,0,"4,318,850","1,048,569",0,0,0,"1,506,756",0,"838,137","235,620","793,325",0,"1,158,928",0,"870,650",0,"8,004,738","595,339",0,0,0,0,0,0,0,"82,355",0,0
